,GEOID,FP_nearest,FP_tt,FP_tt_3
678,36081049302,35babeb8-5b85-471c-a34d-2216603fc60a,13.45,15.65
679,36081049500,8d85922c-f76e-4522-a147-7a026ece7325,11.63,17.06
680,36081049600,f8be521d-a1fe-45c7-a63b-8f7c9eda5838,5.68,10.76
681,36081049700,35babeb8-5b85-471c-a34d-2216603fc60a,10.45,12.61
682,36081050000,0152e2bf-4839-491d-b21d-c38fea9ee160,5.42,8.22
683,36081050201,0e23b85b-8688-4aba-b35d-24a43e315ddf,4.49,6.0
684,36081050202,e802dc05-152a-48ff-bd40-f59bf9a1bafd,6.55,6.99
685,36081050400,0e23b85b-8688-4aba-b35d-24a43e315ddf,2.95,3.24
686,36081050500,154a03e0-e31a-430f-9f61-ac3fd3bc6fcb,5.29,8.92
687,36081050600,e802dc05-152a-48ff-bd40-f59bf9a1bafd,2.78,3.77
688,36081050800,bdb735d6-0433-41a1-b6f0-2c915d3fc9f9,1.24,2.46
689,36081051000,f933f687-10cf-4e37-bf8a-15b2fd46def6,4.39,5.54
690,36081051200,f933f687-10cf-4e37-bf8a-15b2fd46def6,4.92,6.27
691,36081051300,35babeb8-5b85-471c-a34d-2216603fc60a,10.38,16.63
692,36081051600,338f65c4-a068-450e-a4bc-1dcf76f7da32,4.14,7.19
693,36081051700,35babeb8-5b85-471c-a34d-2216603fc60a,21.54,24.13
694,36081051800,f933f687-10cf-4e37-bf8a-15b2fd46def6,7.29,7.75
695,36081052000,bdb735d6-0433-41a1-b6f0-2c915d3fc9f9,7.54,8.05
696,36081052100,fd16e847-5540-41e3-858a-15e57043404c,22.46,25.13
697,36081052200,e802dc05-152a-48ff-bd40-f59bf9a1bafd,8.06,8.59
698,36081052400,a282526f-995f-4bad-a0fc-de875ed216f8,6.03,6.72
699,36081052600,078eba7d-b8e0-4421-a467-79d57733512f,3.13,5.95
700,36081052800,078eba7d-b8e0-4421-a467-79d57733512f,3.72,6.01
701,36081053000,03f3326e-7b52-4fdb-af71-5bece2b0a088,7.98,8.87
702,36081053100,fd16e847-5540-41e3-858a-15e57043404c,25.68,26.52
703,36081053200,647e282a-96bb-454c-b6ec-323cd3b41d0e,7.25,8.46
704,36081053401,338f65c4-a068-450e-a4bc-1dcf76f7da32,4.49,7.91
705,36081053601,84ecd710-c05b-4c47-9d58-3c672589464f,3.1,5.51
706,36081053800,338f65c4-a068-450e-a4bc-1dcf76f7da32,5.43,7.79
707,36081053901,7a561b4e-bab2-496b-971b-24e2db6d9e1f,14.25,16.66
708,36081053902,fd16e847-5540-41e3-858a-15e57043404c,13.26,17.14
709,36081054000,00d39bcf-945e-4084-97b9-090c17b48815,3.06,7.61
710,36081054200,00d39bcf-945e-4084-97b9-090c17b48815,7.38,10.2
711,36081054500,fd16e847-5540-41e3-858a-15e57043404c,9.79,12.14
712,36081054700,53c1ab21-3699-4f9d-8cf2-41aa6cb349a0,7.27,8.88
713,36081054800,f8be521d-a1fe-45c7-a63b-8f7c9eda5838,8.93,12.5
714,36081054900,53c1ab21-3699-4f9d-8cf2-41aa6cb349a0,4.64,6.89
715,36081055100,53c1ab21-3699-4f9d-8cf2-41aa6cb349a0,3.19,4.7
716,36081055200,f8be521d-a1fe-45c7-a63b-8f7c9eda5838,14.7,15.49
717,36081055300,53c1ab21-3699-4f9d-8cf2-41aa6cb349a0,1.81,6.72
718,36081055400,7df2e969-f788-4163-9483-8c31c88a3d5e,8.33,11.77
719,36081055500,53c1ab21-3699-4f9d-8cf2-41aa6cb349a0,4.32,5.92
720,36081055600,61ae79e6-5a08-48ff-8b11-79a3d898f148,8.67,11.67
721,36081055700,a8a66362-9a6b-46af-a7cd-e6c4c414c3dc,1.06,3.38
722,36081055800,61ae79e6-5a08-48ff-8b11-79a3d898f148,2.87,6.74
723,36081055900,78948556-9178-43a9-8385-4fc3cab76b7d,4.23,7.21
724,36081056100,da49ffcb-3b2c-4a49-a6fc-32185b56d9b3,14.61,15.08
725,36081056200,7df2e969-f788-4163-9483-8c31c88a3d5e,4.47,7.84
726,36081056500,78948556-9178-43a9-8385-4fc3cab76b7d,2.01,6.52
727,36081056600,61ae79e6-5a08-48ff-8b11-79a3d898f148,2.7,5.18
728,36081056700,819188f8-032b-4908-823a-54542ad4ef36,6.86,6.91
729,36081057700,da49ffcb-3b2c-4a49-a6fc-32185b56d9b3,2.44,3.37
730,36081057900,da49ffcb-3b2c-4a49-a6fc-32185b56d9b3,3.84,4.41
731,36081058200,338f65c4-a068-450e-a4bc-1dcf76f7da32,9.15,10.82
732,36081058500,fff56b56-a39b-47c4-b7bf-fbf0875372d7,2.75,3.55
