GEOID,Mo_period_1_tt,Mo_period_2_tt,Mo_period_3_tt,Mo_period_4_tt,Tu_period_1_tt,Tu_period_2_tt,Tu_period_3_tt,Tu_period_4_tt,We_period_1_tt,We_period_2_tt,We_period_3_tt,We_period_4_tt,Th_period_1_tt,Th_period_2_tt,Th_period_3_tt,Th_period_4_tt,Fr_period_1_tt,Fr_period_2_tt,Fr_period_3_tt,Fr_period_4_tt,Sa_period_1_tt,Sa_period_2_tt,Sa_period_3_tt,Sa_period_4_tt,Su_period_1_tt,Su_period_2_tt,Su_period_3_tt,Su_period_4_tt,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36047113400,10.55,10.55,16.95,18.17,14.03,12.24,16.42,16.42,16.95,12.3,16.95,20.72,16.95,10.35,16.95,11.18,10.55,10.55,16.95,19.19,2.61,2.61,21.7,21.7,39.51,27.88,51.25,144.79,2.61,21.6775,0.75,27059,41941,2566,0.0734,0.3366,0.203,113549.0,BK_rest,-71608.0,1,1
36047114202,20.36,20.36,23.68,41.32,15.45,15.45,15.45,15.45,18.58,7.98,3.02,3.02,28.17,13.51,3.02,3.02,28.28,17.44,3.02,3.02,15.86,14.79,15.86,15.86,44.3,25.85,71.46,141.4,3.02,23.035,0.6428571428571429,58576,87000,3001,0.4473,0.2886,0.136,113549.0,BK_rest,-26549.0,1,1
36047114400,16.41,16.41,16.41,24.81,7.88,7.88,16.41,17.29,16.41,16.41,13.59,13.59,16.41,3.02,13.59,3.77,16.41,17.59,13.59,13.59,8.19,8.19,18.42,18.42,37.71,32.64,56.18,141.51,3.02,21.52607142857143,0.8214285714285714,72711,65114,2849,0.3524,0.3473,0.203,113549.0,BK_rest,-48435.0,1,1
36047114600,20.31,20.31,25.21,36.56,12.51,12.51,12.82,12.82,20.31,8.92,2.01,2.01,25.21,8.75,2.01,2.01,23.75,15.35,2.01,2.01,13.53,11.8,13.53,13.53,42.98,30.26,67.42,142.56,2.01,21.53607142857143,0.6071428571428571,35464,54969,3119,0.4272,0.2421,0.115,113549.0,BK_rest,-58580.0,1,1
36047115000,27.35,27.35,29.95,35.11,3.7,3.7,3.7,3.7,19.63,3.41,10.04,10.04,29.95,11.82,9.7,11.6,15.33,6.64,11.6,11.6,4.82,2.27,4.82,4.82,50.41,39.53,68.52,152.1,2.27,21.90035714285714,0.6785714285714286,63106,97814,2839,0.4269,0.1624,0.082,113549.0,BK_rest,-15735.0,1,1
36047115200,23.07,23.07,24.97,30.79,8.71,8.71,8.71,8.71,23.87,8.33,10.84,10.84,24.97,7.08,10.84,9.63,14.84,11.62,10.84,10.84,9.85,7.27,9.85,9.85,45.77,39.19,63.75,148.35,7.08,22.32714285714286,0.6428571428571429,48894,75785,3664,0.5144,0.1512,0.129,113549.0,BK_rest,-37764.0,1,1
36047115600,13.97,13.97,20.5,21.73,15.01,8.19,13.21,13.21,20.5,13.21,18.6,18.6,20.5,9.21,18.6,10.95,11.76,11.76,18.6,18.6,2.19,2.19,17.63,17.63,42.88,32.02,55.31,147.7,2.19,22.436785714285715,0.7142857142857143,25842,40055,4320,0.3221,0.3413,0.189,113549.0,BK_rest,-73494.0,1,1
36047115800,17.78,17.78,24.29,25.52,12.56,4.53,10.73,10.73,24.29,10.73,16.1,16.1,24.29,9.93,17.27,12.28,9.43,9.43,17.27,17.27,6.26,6.26,13.65,13.65,46.41,36.22,59.43,150.69,4.53,22.888571428571424,0.7142857142857143,57617,84118,3020,0.4984,0.2281,0.13,113549.0,BK_rest,-29431.0,1,1
36047116000,21.65,21.65,27.79,29.34,9.01,3.19,9.01,9.01,26.24,9.17,12.11,12.11,27.79,12.13,14.82,14.7,8.71,8.71,16.94,16.94,10.01,5.44,10.01,10.01,49.96,40.32,63.45,153.66,3.19,23.35285714285714,0.6428571428571429,41724,64672,2781,0.4737,0.2804,0.171,113549.0,BK_rest,-48877.0,1,1
36047116200,25.46,25.46,28.34,33.09,6.33,5.73,6.33,6.33,23.46,6.7,8.42,8.42,28.34,15.05,11.41,17.57,9.79,7.67,17.57,17.57,6.08,5.8,7.06,7.06,53.46,44.27,67.33,156.57,5.73,23.452499999999997,0.6428571428571429,54097,125707,2728,0.6267,0.2658,0.171,113549.0,BK_rest,12158.0,0,1
