GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36047150200,63.53,38.56,43.02,71.32,58.07,37.6,34.88,42.61,60.36,35.77,37.29,67.21,44.86,34.94,37.04,50.41,42.13,39.49,32.57,66.54,34.47,32.66,42.32,89.06,111.69,42.53,48.81,162.78,32.57,53.661428571428566,0.0,112228,213523,2807,0.6884,0.046,0.085,113549.0,BK_rest,99974.0,0,0
36047152200,58.16,31.22,23.05,72.13,40.05,14.16,15.32,41.15,48.14,20.6,17.93,63.77,18.12,14.93,15.54,55.65,24.03,24.03,13.98,74.15,16.3,12.57,18.71,84.52,123.14,40.03,23.58,179.34,12.57,42.29642857142857,0.35714285714285715,205227,205441,3578,0.8401,0.0355,0.048,113549.0,BK_rest,91892.0,0,0
36061000201,12.34,10.25,16.13,37.79,12.34,8.49,14.65,37.79,15.1,11.34,11.4,37.79,16.13,11.34,16.13,37.79,12.25,8.95,18.24,43.39,30.43,11.66,28.7,79.23,49.58,40.06,41.92,68.76,8.49,26.4275,0.5714285714285714,32286,63828,2740,0.0724,0.5473,0.246,151723.0,S_Manhattan,-87895.0,1,1
36061000202,15.2,14.07,16.8,40.53,15.2,9.75,15.16,40.53,17.89,14.21,13.49,40.53,18.92,14.21,18.92,40.53,13.13,12.0,22.06,46.42,33.15,15.56,32.37,82.17,52.39,43.46,45.98,70.61,9.75,29.115714285714287,0.5357142857142857,31806,114758,6789,0.1703,0.3096,0.224,151723.0,S_Manhattan,-36965.0,1,1
36061000600,11.2,8.17,14.93,36.54,11.2,8.17,14.93,36.54,13.98,10.96,12.34,36.54,14.93,11.36,14.93,36.54,12.03,8.96,14.98,40.52,29.32,10.27,26.16,77.13,46.58,36.58,37.83,67.25,8.17,25.031071428571433,0.5714285714285714,19692,95195,10732,0.1364,0.3853,0.268,151723.0,S_Manhattan,-56528.0,1,1
36061000700,12.84,18.75,18.75,39.49,12.84,18.75,18.75,39.49,12.84,18.75,18.75,39.49,12.84,18.75,18.75,39.49,17.42,25.76,25.76,48.54,46.97,20.56,42.02,84.34,51.75,41.06,39.88,76.01,12.84,31.406785714285714,0.4642857142857143,193276,250001,8653,0.0813,0.0346,,151723.0,S_Manhattan,98278.0,0,0
36061000800,12.69,11.42,16.02,35.64,12.69,11.42,16.02,35.64,13.93,12.66,13.96,35.64,15.24,12.84,16.02,35.64,13.32,12.36,13.81,38.19,31.54,12.84,26.43,74.21,44.18,34.19,34.81,64.91,11.42,25.294999999999995,0.5714285714285714,28269,80579,9189,0.1269,0.2883,0.233,151723.0,S_Manhattan,-71144.0,1,1
36061000900,17.2,23.31,23.31,44.17,17.2,23.31,23.31,44.17,17.2,23.31,23.31,44.17,17.2,23.31,23.31,44.17,22.26,30.8,30.8,53.61,52.12,25.59,47.17,89.75,56.65,46.06,45.21,81.16,17.2,36.183571428571426,0.14285714285714285,208438,323078,1906,0.1434,0.0793,,151723.0,S_Manhattan,171355.0,0,0
36061001001,13.99,13.19,15.48,39.99,14.87,11.54,13.85,39.99,16.9,14.68,10.72,39.99,18.07,14.68,18.07,39.99,12.34,10.65,21.49,43.06,29.34,16.3,31.33,80.67,50.04,41.12,45.76,67.22,10.65,28.047142857142855,0.5357142857142857,101893,161406,1615,0.4994,0.0099,0.061,151723.0,S_Manhattan,9683.0,0,0
36061001002,11.81,11.64,13.34,37.93,13.42,11.51,11.75,37.93,14.73,13.22,8.58,37.93,16.13,13.91,16.62,37.93,11.75,10.24,21.09,40.36,24.96,16.75,30.3,78.34,48.9,40.09,44.73,64.31,8.58,26.435714285714287,0.5357142857142857,22183,18022,5520,0.1418,0.4437,0.18,151723.0,S_Manhattan,-133701.0,1,1
