GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005006200,19.76,11.42,15.28,44.66,15.34,12.63,15.34,50.92,10.99,5.62,9.55,30.37,12.12,10.64,13.14,38.04,14.67,8.87,8.87,32.33,20.39,9.59,19.42,92.36,50.55,36.97,68.96,127.31,5.62,28.789642857142862,0.6071428571428571,24769,38391,6710,0.2435,0.3727,0.26,107246.0,Bronx,-68855.0,1,1
36005006301,10.98,9.35,12.15,54.37,11.9,10.89,13.18,34.13,15.8,10.91,15.66,35.82,16.0,11.11,19.54,41.05,9.61,8.46,11.5,56.01,12.78,9.83,13.01,50.31,26.09,32.23,40.87,76.92,8.46,23.944999999999997,0.6428571428571429,50273,26964,5521,0.2863,0.2907,0.168,107246.0,Bronx,-80282.0,1,1
36005006400,21.97,14.19,17.85,45.94,18.2,13.58,18.32,54.32,14.46,8.41,12.42,33.49,15.36,13.94,15.09,41.47,15.14,9.36,9.36,33.33,23.03,11.98,21.7,94.15,51.85,36.6,70.6,129.83,8.41,30.926428571428577,0.5357142857142857,35144,54473,4061,0.4259,0.3493,0.222,107246.0,Bronx,-52773.0,1,1
36005006500,12.6,7.42,8.47,52.6,11.84,7.06,7.22,35.01,12.05,6.2,7.66,32.27,12.88,5.43,14.67,37.65,10.0,5.64,7.73,51.4,8.3,7.65,13.36,52.73,32.87,36.68,42.96,75.14,5.43,21.981785714285714,0.6428571428571429,21962,34041,5681,0.1625,0.4806,0.285,107246.0,Bronx,-73205.0,1,1
36005006700,10.7,6.47,7.98,54.26,8.72,7.3,5.24,35.65,8.06,4.8,4.97,31.41,10.76,3.82,12.18,36.02,8.91,4.42,5.83,49.81,7.15,5.73,10.17,55.1,33.64,40.53,44.68,79.91,3.82,21.222142857142853,0.6428571428571429,15957,34961,6993,0.1836,0.538,0.3,107246.0,Bronx,-72285.0,1,1
36005006800,24.35,15.29,20.07,47.85,19.09,17.03,18.43,55.87,14.85,10.0,13.8,36.93,19.21,19.42,19.42,43.35,15.81,10.52,10.52,34.82,28.22,13.21,23.58,93.41,51.46,38.84,73.74,127.59,10.0,32.73857142857143,0.5,38125,59093,2765,0.322,0.3157,0.2,107246.0,Bronx,-48153.0,1,1
36005006900,9.48,5.0,9.05,55.86,7.43,6.73,6.44,36.33,6.06,3.39,5.89,32.41,9.29,5.1,10.77,34.74,7.16,3.66,6.88,48.79,6.34,6.07,8.26,56.94,34.19,45.84,46.22,84.33,3.39,21.380357142857143,0.6428571428571429,32887,42833,7255,0.281,0.3482,0.225,107246.0,Bronx,-64413.0,1,1
36005007000,27.59,19.76,23.83,49.34,23.7,16.06,22.14,60.79,16.48,14.76,17.13,40.82,23.05,19.75,19.75,48.18,16.62,12.17,10.16,36.44,31.46,15.78,27.76,96.76,53.68,37.88,75.68,132.69,10.16,35.36464285714286,0.39285714285714285,53014,76176,4235,0.4928,0.2131,0.118,107246.0,Bronx,-31070.0,1,1
36005007100,12.88,6.74,10.41,55.0,9.47,6.34,6.34,37.13,10.19,5.86,5.82,28.46,10.26,5.23,12.26,34.9,11.77,4.94,6.25,47.59,7.89,6.45,11.08,58.41,36.1,47.97,46.24,82.12,4.94,22.28928571428571,0.6428571428571429,43079,100729,2827,0.4198,0.2008,0.114,107246.0,Bronx,-6517.0,1,1
36005007200,31.48,24.92,28.3,51.16,28.88,15.7,25.87,74.37,17.82,20.03,19.56,49.92,27.72,21.27,21.27,53.47,15.66,14.73,9.73,39.14,35.21,18.25,32.19,100.47,56.31,37.39,77.68,138.2,9.73,38.81071428571429,0.25,54097,77283,6430,0.5269,0.1509,0.155,107246.0,Bronx,-29963.0,1,1
36005007300,17.81,9.77,14.58,55.17,12.18,7.32,10.36,38.9,15.66,7.18,8.76,30.05,13.36,8.99,14.58,36.02,16.5,7.82,9.83,47.08,8.7,4.9,16.22,60.85,39.04,50.84,47.29,81.02,4.9,24.67071428571428,0.6428571428571429,25619,30282,4301,0.2198,0.4097,0.269,107246.0,Bronx,-76964.0,1,1
36005007400,40.72,35.03,40.89,60.66,35.45,21.35,27.14,77.07,17.74,23.35,23.35,58.47,35.45,28.49,28.49,63.37,31.14,19.82,24.74,51.45,52.12,22.73,45.56,101.51,58.79,45.03,89.72,136.78,17.74,46.300357142857145,0.07142857142857142,37352,57895,3078,0.5704,0.2934,0.164,107246.0,Bronx,-49351.0,1,1
36005007500,14.62,7.68,15.05,56.39,11.37,8.57,10.22,38.4,11.49,8.48,9.29,29.93,11.46,6.93,12.64,34.0,11.63,6.02,10.04,45.92,8.06,5.29,11.83,61.45,38.24,50.04,48.27,85.88,5.29,23.899642857142858,0.6428571428571429,30413,47140,6295,0.2669,0.363,0.223,107246.0,Bronx,-60106.0,1,1
36005007600,25.34,18.36,22.06,47.71,22.94,13.1,21.28,59.25,17.52,13.87,17.83,37.73,20.85,16.21,18.81,46.39,14.44,11.35,7.62,34.87,27.02,16.62,25.44,97.06,53.98,36.05,72.61,134.1,7.62,33.94321428571429,0.39285714285714285,51625,107422,5293,0.4412,0.1856,0.16,107246.0,Bronx,176.0,0,1
36005007700,15.38,6.97,17.82,56.9,14.89,12.58,14.7,39.74,11.8,8.89,11.44,31.52,10.91,6.16,15.4,33.28,11.07,4.42,14.5,44.26,7.48,1.46,11.58,64.65,40.77,52.21,50.58,90.15,1.46,25.05392857142857,0.6428571428571429,48333,37222,2165,0.5351,0.2416,0.156,107246.0,Bronx,-70024.0,1,1
36005007800,38.26,32.85,37.45,55.79,38.26,16.55,32.08,79.57,19.29,22.73,22.88,55.74,35.66,26.05,26.05,62.0,20.7,15.13,12.79,47.25,46.96,21.63,40.68,105.15,59.76,39.57,83.62,144.04,12.79,44.23178571428571,0.14285714285714285,54615,103523,6301,0.5686,0.1726,0.127,107246.0,Bronx,-3723.0,1,1
36005007900,17.86,10.97,16.87,56.99,15.38,11.41,14.38,40.27,16.31,9.22,10.05,31.49,14.41,9.63,15.63,35.32,15.39,7.98,13.96,45.41,10.18,6.09,15.51,64.31,41.57,53.09,49.9,85.81,6.09,26.26392857142857,0.6428571428571429,22534,34600,7157,0.14,0.4458,0.279,107246.0,Bronx,-72646.0,1,1
