GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29
36047005900,Brooklyn,BK0601,-74.0060989461694,40.67939509868469,POINT (-74.00609888154526 40.6793950758259),POINT (-74.0060989461694 40.67939509868469),20.272,85517,23.944,FPC-457,37.531,85434,27.42,FPC-488,34.58,85351,39.2,87247,36.629,85521,34.877,85523,40.238,81199,50.101,83913,54.564,85540,49.323,80343,46.417,84611,52.022,85227,52.95,85328,43.644,83916,45.311,FPC-630,46.901,FPC-624,69.689,80936,61.839,FPC-601,55.419,82750,63.671,85251,61.802,85357,69.598,87064,70.859,85108,80.078,FPC-690,85.108,85071,84.954,85307,80.321,85221,95.16,85314
36081038100,Queens,QN0303,-73.85766725388879,40.75612643154963,POINT (-73.85766726175264 40.756126436141656),POINT (-73.85766725388879 40.75612643154963),14.761,FPC-601,15.146,80936,44.566,85251,59.577,87064,64.326,FPC-630,61.713,85227,65.047,84611,59.007,82750,75.585,85328,50.617,FPC-624,49.004,FPC-690,75.911,83913,74.303,85108,50.454,85351,33.648,81199,55.441,85071,48.294,FPC-488,55.482,85221,68.5,85307,66.282,85357,38.525,85521,58.557,85434,40.029,85523,44.072,87247,65.798,85314,86.657,85540,56.206,85517,68.967,FPC-457,91.917,80343,88.153,83916
36085021300,Staten Island,SI0106,-74.13888419874165,40.63261973303925,POINT (-74.13888413085118 40.63261975747043),POINT (-74.13888419874165 40.63261973303925),9.172,83916,42.401,FPC-457,53.501,85517,68.31,80343,75.081,85434,72.429,87247,64.965,FPC-488,69.858,85521,68.106,85523,74.881,85540,72.125,85351,73.467,81199,77.924,83913,82.105,84611,87.71,85227,84.521,85328,80.13,FPC-624,80.999,FPC-630,88.648,82750,102.918,80936,95.068,FPC-601,95.031,85357,99.359,85251,102.827,87064,104.088,85108,113.307,FPC-690,118.337,85071,118.183,85307,113.55,85221,128.389,85314
36085024700,Staten Island,SI0106,-74.14174394408377,40.62751330661766,POINT (-74.14174389090607 40.62751329368229),POINT (-74.14174394408377 40.62751330661766),10.811,83916,38.892,FPC-457,49.992,85517,64.801,80343,71.572,85434,68.92,87247,61.456,FPC-488,66.349,85521,64.597,85523,71.372,85540,68.616,85351,69.958,81199,74.415,83913,78.596,84611,84.201,85227,81.012,85328,76.621,FPC-624,77.49,FPC-630,85.139,82750,99.409,80936,91.559,FPC-601,91.522,85357,95.85,85251,99.318,87064,100.579,85108,109.798,FPC-690,114.828,85071,114.674,85307,110.041,85221,124.88,85314
36005005100,Bronx,BX0101,-73.92758993453512,40.8131932823629,POINT (-73.9275900608308 40.813193245851274),POINT (-73.92758993453512 40.8131932823629),12.793,82750,13.982,FPC-624,35.075,85357,31.53,85108,29.928,87064,23.819,81199,53.032,80936,27.875,85523,32.136,85521,46.298,FPC-601,35.761,87247,46.648,85434,50.007,85307,50.833,85351,50.266,FPC-488,35.879,85517,58.173,84611,64.223,85227,64.488,83913,63.372,FPC-630,61.099,85251,69.594,85328,48.64,FPC-457,70.211,85540,65.354,FPC-690,72.412,85071,77.59,85221,79.734,80343,82.148,85314,68.648,83916
36005006301,Bronx,BX0401,-73.92907502959017,40.821805307742316,POINT (-73.9290751129109 40.82180512881974),POINT (-73.92907502959017 40.82180530774232),17.353,82750,18.698,FPC-624,29.874,85357,30.365,85108,31.195,87064,28.535,81199,57.748,80936,32.393,85523,32.058,85521,40.352,87247,51.014,FPC-601,50.749,85307,51.364,85434,55.549,85351,54.982,FPC-488,40.595,85517,62.889,84611,68.939,85227,69.204,83913,68.088,FPC-630,65.815,85251,74.31,85328,53.356,FPC-457,76.931,85540,70.07,FPC-690,77.128,85071,82.306,85221,84.45,80343,86.864,85314,73.364,83916
36061029700,Manhattan,MN1292,-73.92434257948675,40.87237794078539,POINT (-73.92434265423371 40.87237796506847),POINT (-73.92434257948675 40.87237794078539),15.498,85357,29.046,85108,45.957,82750,46.396,87064,41.268,FPC-624,54.605,85307,51.007,81199,76.898,80936,44.704,85523,46.052,85521,69.048,FPC-601,52.597,87247,63.192,85434,74.141,85351,67.924,FPC-488,59.702,85517,79.49,84611,85.095,85227,82.849,85251,78.384,FPC-630,83.541,83913,86.023,85328,87.287,FPC-690,98.902,85221,93.724,85071,73.379,FPC-457,92.52,85540,104.081,85314,98.218,80343,90.67,83916
36061030300,Manhattan,MN1203,-73.9186543981625,40.86921963899419,POINT (-73.91865439481789 40.869219636205756),POINT (-73.9186543981625 40.86921963899419),10.495,85357,22.945,85108,39.856,82750,40.295,87064,35.167,FPC-624,48.504,85307,44.906,81199,70.797,80936,62.947,FPC-601,38.033,85523,39.951,85521,45.926,87247,57.091,85434,68.04,85351,61.823,FPC-488,53.36,85517,73.389,84611,78.994,85227,76.748,85251,72.283,FPC-630,77.44,83913,79.922,85328,81.186,FPC-690,92.801,85221,87.623,85071,67.278,FPC-457,86.419,85540,97.98,85314,92.117,80343,84.569,83916
36085019800,Staten Island,SI0304,-74.20500151770376,40.517669831081854,POINT (-74.2050026501862 40.51766988708821),POINT (-74.20500151770376 40.51766983108185),56.445,83916,68.299,FPC-457,88.716,80343,79.399,85517,95.287,85540,90.863,FPC-488,100.979,85434,98.327,87247,98.023,85351,95.756,85521,94.004,85523,103.822,83913,99.365,81199,108.003,84611,113.608,85227,110.419,85328,106.897,FPC-630,106.028,FPC-624,128.816,80936,120.966,FPC-601,114.546,82750,125.257,85251,120.929,85357,128.725,87064,129.986,85108,139.205,FPC-690,144.235,85071,154.287,85314,139.448,85221,144.081,85307
36085020803,Staten Island,SI0304,-74.2106759543686,40.53282966560955,POINT (-74.21067583905175 40.532829420895126),POINT (-74.2106759543686 40.53282966560955),64.803,83916,75.722,FPC-457,96.139,80343,86.822,85517,102.71,85540,108.402,85434,98.286,FPC-488,105.75,87247,103.179,85521,105.446,85351,101.427,85523,111.245,83913,106.788,81199,115.426,84611,121.031,85227,117.842,85328,114.32,FPC-630,113.451,FPC-624,136.239,80936,128.389,FPC-601,121.969,82750,132.68,85251,128.352,85357,136.148,87064,137.409,85108,146.628,FPC-690,151.658,85071,161.71,85314,146.871,85221,151.504,85307
