GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14
36005040800,Bronx,BX1201,-73.86168990855944,40.8897417954529,POINT (-73.86168991389528 40.88974179386493),POINT (-73.86168990855944 40.8897417954529),38.494,85503,32.806,87064,51.403,FPC-624,56.76,80752,61.24,81199,58.514,85523,63.429,85521,68.083,87247,84.069,85434,87.687,FPC-488,104.337,82186,73.064,85517,86.061,FPC-457,117.155,80343,106.069,83916
36005040900,Bronx,BX0702,-73.89314720405864,40.876792746504066,POINT (-73.89314734551321 40.87679262721304),POINT (-73.89314720405864 40.87679274650407),42.72,87064,46.179,85503,36.776,FPC-624,46.28,80752,46.613,81199,50.669,85523,51.652,85521,58.555,87247,69.442,85434,73.06,FPC-488,58.673,85517,89.71,82186,71.434,FPC-457,102.528,80343,91.442,83916
36005041500,Bronx,BX0702,-73.88354479544131,40.87011199778183,POINT (-73.88354479030114 40.87011197860382),POINT (-73.88354479544131 40.87011199778183),35.338,87064,39.99,85503,38.904,FPC-624,45.951,80752,48.741,81199,48.703,85523,47.898,85521,56.192,87247,67.833,85434,73.104,FPC-488,60.801,85517,91.838,82186,73.562,FPC-457,102.859,80343,93.57,83916
36005041900,Bronx,BX0703,-73.88168177589151,40.87686149257721,POINT (-73.88168176554058 40.87686143334556),POINT (-73.88168177589151 40.87686149257721),41.174,87064,45.564,85503,37.726,FPC-624,49.466,80752,47.563,81199,51.619,85523,50.973,85521,59.267,87247,70.392,85434,74.01,FPC-488,59.623,85517,90.66,82186,72.384,FPC-457,103.478,80343,92.392,83916
36005042000,Bronx,BX1203,-73.85985232555183,40.893020551113416,POINT (-73.85985232870149 40.893020544006866),POINT (-73.85985232555183 40.89302055111342),38.526,85503,32.838,87064,47.793,FPC-624,56.792,80752,57.63,81199,58.546,85523,62.669,85521,68.115,87247,80.459,85434,84.077,FPC-488,100.727,82186,69.69,85517,82.451,FPC-457,113.545,80343,102.459,83916
36005042100,Bronx,BX0703,-73.88278035140169,40.881472188755005,POINT (-73.8827802980071 40.88147220215267),POINT (-73.88278035140169 40.881472188755),41.17,87064,44.177,85503,32.963,FPC-624,44.703,80752,42.8,81199,46.856,85523,47.839,85521,54.742,87247,65.629,85434,69.247,FPC-488,54.86,85517,85.897,82186,67.621,FPC-457,98.715,80343,87.629,83916
36005042200,Bronx,BX1203,-73.85527281825371,40.89109936359162,POINT (-73.85527280078496 40.89109936718916),POINT (-73.85527281825371 40.89109936359162),38.43,85503,33.649,87064,51.739,FPC-624,57.603,80752,61.576,81199,59.357,85523,64.272,85521,68.926,87247,84.405,85434,88.023,FPC-488,104.673,82186,73.636,85517,86.397,FPC-457,117.491,80343,106.405,83916
36005042300,Bronx,BX0703,-73.87731843170589,40.87706751155493,POINT (-73.87731846306902 40.87706748851165),POINT (-73.87731843170589 40.87706751155493),36.792,87064,42.48,85503,41.278,FPC-624,51.476,80752,51.115,81199,51.57,85523,50.765,85521,59.059,87247,70.7,85434,75.971,FPC-488,63.175,85517,94.212,82186,75.936,FPC-457,105.726,80343,95.944,83916
36005042400,Bronx,BX1203,-73.8495360091432,40.889280089946844,POINT (-73.84953599169985 40.88928009307501),POINT (-73.84953600914319 40.88928008994684),36.014,85503,36.281,87064,53.091,FPC-624,60.235,80752,62.928,81199,61.989,85523,66.904,85521,71.558,87247,85.757,85434,89.375,FPC-488,106.025,82186,74.988,85517,87.749,FPC-457,118.843,80343,107.757,83916
36005042800,Bronx,BX1203,-73.8457031531139,40.894509363532464,POINT (-73.84570314648596 40.89450935360991),POINT (-73.8457031531139 40.89450936353246),43.321,85503,37.918,87064,52.55,FPC-624,64.62,80752,62.387,81199,66.374,85523,70.704,85521,74.329,87247,85.216,85434,88.834,FPC-488,105.484,82186,74.447,85517,87.208,FPC-457,118.302,80343,107.216,83916
36005042902,Bronx,BX0703,-73.87391835159904,40.87712283782189,POINT (-73.87391837169521 40.87712282994453),POINT (-73.87391835159904 40.87712283782189),33.41,87064,39.098,85503,44.733,FPC-624,52.329,80752,54.57,81199,53.795,85523,52.99,85521,61.284,87247,72.925,85434,78.196,FPC-488,66.63,85517,97.667,82186,79.391,FPC-457,107.951,80343,99.399,83916
36005043000,Bronx,BX1203,-73.85065724721706,40.89346005805044,POINT (-73.85065724850716 40.89346005463479),POINT (-73.85065724721706 40.89346005805044),40.002,85503,36.551,87064,53.361,FPC-624,60.505,80752,63.198,81199,62.259,85523,67.174,85521,71.828,87247,86.027,85434,89.645,FPC-488,106.295,82186,75.258,85517,88.019,FPC-457,119.113,80343,108.027,83916
36005043101,Bronx,BX0703,-73.87898984548973,40.883716681167186,POINT (-73.87898985970759 40.88371666067185),POINT (-73.87898984548973 40.88371668116719),41.541,87064,45.931,85503,36.934,FPC-624,48.674,80752,46.771,81199,50.827,85523,51.81,85521,58.713,87247,69.6,85434,73.218,FPC-488,58.831,85517,89.868,82186,71.592,FPC-457,102.686,80343,91.6,83916
36005043400,Bronx,BX1203,-73.85234228998596,40.89821291856831,POINT (-73.85234247628385 40.898212824944636),POINT (-73.85234228998596 40.89821291856831),36.469,85503,30.781,87064,47.169,FPC-624,54.735,80752,57.006,81199,56.489,85523,61.404,85521,66.058,87247,79.835,85434,83.453,FPC-488,100.103,82186,69.066,85517,81.827,FPC-457,112.921,80343,101.835,83916
36005043600,Bronx,BX1203,-73.84976302165035,40.897295701509144,POINT (-73.84976303791244 40.89729569115123),POINT (-73.84976302165035 40.89729570150914),37.269,85503,31.581,87064,47.969,FPC-624,55.535,80752,57.806,81199,57.289,85523,62.204,85521,66.858,87247,80.635,85434,84.253,FPC-488,100.903,82186,69.866,85517,82.627,FPC-457,113.721,80343,102.635,83916
36005044200,Bronx,BX1203,-73.84620476484751,40.9038831011055,POINT (-73.84620473778759 40.903883104190214),POINT (-73.84620476484751 40.9038831011055),43.082,85503,37.394,87064,55.991,FPC-624,61.348,80752,65.828,81199,63.102,85523,68.017,85521,71.856,87247,88.657,85434,91.55,FPC-488,108.925,82186,77.652,85517,90.649,FPC-457,121.278,80343,110.657,83916
36005044400,Bronx,BX1203,-73.84374034944825,40.899498949413974,POINT (-73.84374036398064 40.899498940653416),POINT (-73.84374034944825 40.89949894941397),39.401,85503,33.713,87064,50.101,FPC-624,57.667,80752,59.938,81199,59.421,85523,64.336,85521,68.99,87247,82.767,85434,86.385,FPC-488,103.035,82186,71.998,85517,84.759,FPC-457,115.853,80343,104.767,83916
36005044800,Bronx,BX1203,-73.8413010458908,40.895475337867786,POINT (-73.84130104052082 40.89547532844845),POINT (-73.8413010458908 40.89547533786779),44.915,85503,39.512,87064,54.144,FPC-624,64.571,80752,63.981,81199,66.325,85523,71.24,85521,75.894,87247,86.81,85434,90.428,FPC-488,107.078,82186,76.041,85517,88.802,FPC-457,119.896,80343,108.81,83916
36005044901,Bronx,BX1203,-73.87340904105808,40.89749531391933,POINT (-73.87340906745555 40.89749531137678),POINT (-73.87340904105808 40.89749531391933),48.259,85503,42.571,87064,44.525,FPC-624,56.265,80752,54.362,81199,58.418,85523,59.401,85521,66.304,87247,77.191,85434,80.809,FPC-488,66.422,85517,97.459,82186,79.183,FPC-457,110.277,80343,99.191,83916
36005044902,Bronx,BX1203,-73.86898444898668,40.89881125298473,POINT (-73.86898444487133 40.89881122915072),POINT (-73.86898444898668 40.89881125298473),42.601,85503,36.913,87064,41.324,FPC-624,53.064,80752,51.161,81199,55.217,85523,56.084,85521,63.103,87247,73.99,85434,77.608,FPC-488,63.221,85517,94.258,82186,75.982,FPC-457,107.076,80343,95.99,83916
36005045102,Bronx,BX1203,-73.8641713095467,40.90042857879943,POINT (-73.86417127718614 40.90042859018058),POINT (-73.86417130954671 40.90042857879943),43.996,85503,38.308,87064,48.697,FPC-624,60.437,80752,58.534,81199,62.59,85523,63.573,85521,70.476,87247,81.363,85434,84.981,FPC-488,70.594,85517,101.631,82186,83.355,FPC-457,114.449,80343,103.363,83916
36005045600,Bronx,BX1202,-73.82086862538559,40.888692515397395,POINT (-73.82086801714597 40.88869292865345),POINT (-73.82086862538559 40.88869251539739),39.837,85503,35.957,87064,50.589,FPC-624,63.831,80752,60.426,81199,64.482,85523,68.743,85521,72.368,87247,83.255,85434,86.873,FPC-488,103.523,82186,72.486,85517,85.247,FPC-457,116.341,80343,105.255,83916
36005045800,Bronx,BX1202,-73.84519987956855,40.88586322336387,POINT (-73.84519991566798 40.88586321447921),POINT (-73.84519987956855 40.88586322336387),29.056,85503,35.887,87064,50.519,FPC-624,62.373,80752,60.356,81199,64.127,85523,68.673,85521,72.298,87247,83.185,85434,86.803,FPC-488,103.453,82186,72.416,85517,85.177,FPC-457,116.271,80343,105.185,83916
36005046000,Bronx,BX1202,-73.84264785258348,40.882444779230426,POINT (-73.84264786236409 40.882444761280695),POINT (-73.84264785258348 40.88244477923043),31.336,85503,38.282,87064,52.914,FPC-624,66.156,80752,62.751,81199,66.807,85523,71.068,85521,74.693,87247,85.58,85434,89.198,FPC-488,105.848,82186,74.811,85517,87.572,FPC-457,118.666,80343,107.58,83916
