GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11
36061016300,Manhattan,MN0702,-73.98366748600745,40.782648474877426,POINT (-73.98366746874125 40.78264847189939),POINT (-73.98366748600745 40.78264847487743),17.498,FPC-482,25.29,81199,24.734,87247,28.089,FPC-624,52.213,85351,37.034,85357,56.148,83630,47.222,FPC-605,57.259,84949,62.766,FPC-432,58.53,85251,73.978,83916
36085000300,Staten Island,SI0101,-74.07527679260495,40.641426193728115,POINT (-74.07527680610576 40.64142615534825),POINT (-74.07527679260495 40.64142619372812),25.052,83916,79.591,84949,66.255,87247,77.197,85351,71.14,81199,90.942,83630,76.267,FPC-482,88.383,FPC-432,78.067,FPC-624,95.044,FPC-605,105.561,85251,97.418,85357
36085000600,Staten Island,SI0103,-74.06516507650731,40.615340053585896,POINT (-74.0651643509658 40.615339715448656),POINT (-74.06516507650731 40.6153400535859),37.885,83916,71.05,84949,68.998,85351,58.056,87247,62.941,81199,82.743,83630,80.184,FPC-432,68.068,FPC-482,69.868,FPC-624,86.845,FPC-605,97.362,85251,89.219,85357
36085000700,Staten Island,SI0101,-74.08238870290326,40.64609018196518,POINT (-74.08238868230106 40.64609021398698),POINT (-74.08238870290326 40.64609018196518),21.477,83916,64.74,87247,78.076,84949,75.682,85351,69.625,81199,74.752,FPC-482,89.427,83630,86.868,FPC-432,76.552,FPC-624,93.529,FPC-605,104.046,85251,95.903,85357
36085000800,Staten Island,SI0103,-74.0676936662699,40.61192218281439,POINT (-74.06769338606225 40.611922012515876),POINT (-74.0676936662699 40.61192218281439),38.601,83916,65.92,84949,63.526,85351,52.584,87247,57.469,81199,77.271,83630,74.712,FPC-432,62.596,FPC-482,64.396,FPC-624,81.373,FPC-605,91.89,85251,83.747,85357
36085000900,Staten Island,SI0101,-74.08285639238284,40.6422041596386,POINT (-74.08285642578305 40.64220416387524),POINT (-74.08285639238284 40.6422041596386),27.38,83916,66.275,87247,79.611,84949,77.217,85351,71.16,81199,76.287,FPC-482,90.962,83630,88.403,FPC-432,78.087,FPC-624,95.064,FPC-605,105.581,85251,97.438,85357
36085001100,Staten Island,SI0101,-74.08267798707374,40.63877629978167,POINT (-74.08267802146754 40.638776303487795),POINT (-74.08267798707374 40.63877629978167),26.523,83916,65.418,87247,78.754,84949,76.36,85351,70.303,81199,75.43,FPC-482,90.105,83630,87.546,FPC-432,77.23,FPC-624,94.207,FPC-605,104.724,85251,96.581,85357
36085001700,Staten Island,SI0102,-74.08122745103829,40.63441580394103,POINT (-74.08122748230664 40.634415774536706),POINT (-74.08122745103829 40.63441580394103),22.85,83916,74.679,84949,61.343,87247,72.285,85351,66.228,81199,86.03,83630,71.355,FPC-482,83.471,FPC-432,73.155,FPC-624,90.132,FPC-605,100.649,85251,92.506,85357
36085002001,Staten Island,SI0103,-74.07096800562961,40.606891052834975,POINT (-74.07096790994002 40.60689103874444),POINT (-74.07096800562961 40.60689105283497),33.136,83916,65.653,84949,63.259,85351,52.317,87247,57.202,81199,77.004,83630,74.445,FPC-432,62.329,FPC-482,64.129,FPC-624,81.106,FPC-605,91.623,85251,83.48,85357
36085002100,Staten Island,SI0102,-74.07742950544129,40.63036631211198,POINT (-74.07742970920938 40.63036614544603),POINT (-74.07742950544129 40.63036631211198),28.883,83916,73.149,84949,59.813,87247,70.755,85351,64.698,81199,84.5,83630,69.825,FPC-482,81.941,FPC-432,71.625,FPC-624,88.602,FPC-605,99.119,85251,90.976,85357
36085002700,Staten Island,SI0102,-74.07642059196587,40.62358810984228,POINT (-74.07642057521966 40.62358808711552),POINT (-74.07642059196587 40.62358810984228),31.798,83916,69.576,84949,56.24,87247,67.182,85351,61.125,81199,80.927,83630,78.368,FPC-432,66.252,FPC-482,68.052,FPC-624,85.029,FPC-605,95.546,85251,87.403,85357
