GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19
36061025300,Manhattan,MN1201,-73.93837899532909,40.842895049231785,POINT (-73.93837897056834 40.842895049229476),POINT (-73.93837899532909 40.84289504923179),30.847,85298,26.491,FPC-624,43.132,87064,36.23,81199,29.927,85523,31.275,85521,37.82,87247,52.961,85083,48.415,85434,44.925,85517,53.147,FPC-488,65.112,84354,64.713,84611,63.956,FPC-223,65.42,80904,58.602,FPC-457,66.63,82785,83.441,80343,75.893,83916,70.649,85380
36061026300,Manhattan,MN1201,-73.93747541706709,40.846822562498275,POINT (-73.93747544622644 40.84682254958057),POINT (-73.93747541706709 40.84682256249828),33.71,85298,28.033,FPC-624,42.085,87064,37.772,81199,31.469,85523,32.817,85521,39.362,87247,54.503,85083,49.957,85434,46.467,85517,54.689,FPC-488,66.654,84354,66.255,84611,65.498,FPC-223,66.962,80904,60.144,FPC-457,68.172,82785,84.983,80343,77.435,83916,72.191,85380
36061019800,Manhattan,MN1102,-73.94236023603591,40.80429981979528,POINT (-73.94236024885264 40.8042998091896),POINT (-73.94236023603591 40.80429981979528),9.647,FPC-624,28.397,85298,24.578,81199,26.489,85523,31.157,85521,34.471,87064,45.285,85083,36.058,87247,47.407,85434,51.025,FPC-488,58.625,84354,36.638,85517,58.932,84611,57.722,FPC-223,59.505,80904,66.64,82785,49.399,FPC-457,80.493,80343,69.407,83916,70.474,85380
36061019000,Manhattan,MN1001,-73.94761934409422,40.80196167399032,POINT (-73.94761934537868 40.80196167015649),POINT (-73.94761934409422 40.80196167399032),16.611,FPC-624,26.093,81199,25.182,85298,20.286,85523,25.201,85521,29.855,87247,44.999,85083,32.708,87064,47.79,85434,51.727,FPC-488,34.836,85517,61.943,84354,62.25,84611,61.04,FPC-223,65.216,82785,50.289,FPC-457,62.266,80904,78.966,80343,69.11,83916,68.676,85380
36061020000,Manhattan,MN1001,-73.94523381762683,40.80578648871682,POINT (-73.94523385020226 40.805786474846975),POINT (-73.94523381762683 40.80578648871682),12.405,FPC-624,24.972,85298,26.568,81199,23.064,85523,27.979,85521,32.498,87064,32.633,87247,47.275,85083,46.976,85434,51.708,FPC-488,37.614,85517,60.615,84354,60.922,84611,59.712,FPC-223,65.191,82785,60.957,80904,51.389,FPC-457,81.744,80343,71.397,83916,69.21,85380
36061027300,Manhattan,MN1202,-73.93738595345589,40.85397694832319,POINT (-73.93738600898511 40.85397687853456),POINT (-73.93738595345589 40.85397694832319),35.179,85298,29.151,FPC-624,45.083,87064,38.89,81199,32.587,85523,33.935,85521,40.48,87247,55.621,85083,51.075,85434,47.585,85517,55.807,FPC-488,67.772,84354,67.373,84611,66.616,FPC-223,68.08,80904,61.262,FPC-457,69.29,82785,86.101,80343,78.553,83916,73.309,85380
36061027500,Manhattan,MN1202,-73.94043717205606,40.854577360972534,POINT (-73.94043736580353 40.8545772746866),POINT (-73.94043717205606 40.85457736097253),39.069,85298,34.074,FPC-624,47.444,87064,43.813,81199,37.51,85523,38.858,85521,45.403,87247,60.544,85083,55.998,85434,52.508,85517,60.73,FPC-488,72.695,84354,72.296,84611,71.539,FPC-223,73.003,80904,66.185,FPC-457,74.213,82785,91.024,80343,83.476,83916,78.232,85380
36061000700,Manhattan,MN0101,-74.00762084071869,40.70542176621632,POINT (-74.00762065024392 40.70542173650296),POINT (-74.00762084071869 40.70542176621632),9.379,85517,24.333,85434,28.318,87247,24.082,85521,28.163,FPC-488,21.167,85523,37.828,85083,20.671,FPC-457,28.465,81199,37.775,82785,38.912,84354,39.286,FPC-223,40.043,84611,52.083,80343,35.128,FPC-624,40.453,83916,49.799,85298,42.874,85380,57.825,87064,59.392,80904
36061000900,Manhattan,MN0101,-74.00981747478829,40.70226106162619,POINT (-74.00981718373819 40.70226101124462),POINT (-74.00981747478829 40.70226106162619),9.55,85517,28.766,85434,28.952,87247,30.042,FPC-488,27.467,85521,20.842,FPC-457,25.025,85523,40.408,85083,30.639,81199,37.946,82785,41.281,84354,42.045,FPC-223,52.254,80343,42.802,84611,37.302,FPC-624,40.624,83916,51.973,85298,43.045,85380,59.999,87064,60.792,80904
36061003001,Manhattan,MN0302,-73.98682868648908,40.721000695656095,POINT (-73.98682867805753 40.721000695539836),POINT (-73.98682868648908 40.72100069565609),8.788,85434,20.513,87247,18.966,85521,23.378,85517,27.17,85083,24.898,85523,28.254,81199,25.639,FPC-488,29.442,84354,35.175,FPC-457,34.01,82785,36.086,FPC-624,33.864,FPC-223,35.957,84611,50.821,80343,50.652,85298,58.678,87064,55.183,83916,59.798,80904,56.25,85380
