GEOID,TCoL_2021,TCoL_2023,TCoL_mapping
36081054800,92275,115496,Queens
36081054900,92275,115496,Queens
36081055100,92275,115496,Queens
36081055200,92275,115496,Queens
36081055300,92275,115496,Queens
36081055400,92275,115496,Queens
36081055500,92275,115496,Queens
36081055600,92275,115496,Queens
36081055700,92275,115496,Queens
36081055800,92275,115496,Queens
36081055900,92275,115496,Queens
36081056100,92275,115496,Queens
36081056200,92275,115496,Queens
36081056500,92275,115496,Queens
36081056600,92275,115496,Queens
36081056700,92275,115496,Queens
36081057700,92275,115496,Queens
36081057900,92275,115496,Queens
36081058200,92275,115496,Queens
36081058500,92275,115496,Queens
36081058700,92275,115496,Queens
36081058900,92275,115496,Queens
36081059000,92275,115496,Queens
36081059100,92275,115496,Queens
36081059300,92275,115496,Queens
36081059400,92275,115496,Queens
36081059501,92275,115496,Queens
36081059600,92275,115496,Queens
36081059800,92275,115496,Queens
36081059900,92275,115496,Queens
36081060000,92275,115496,Queens
36081060600,92275,115496,Queens
36081060800,92275,115496,Queens
36081061000,92275,115496,Queens
36081061200,92275,115496,Queens
36081061302,92275,115496,Queens
36081061400,92275,115496,Queens
36081061601,92275,115496,Queens
36081061602,92275,115496,Queens
36081061800,92275,115496,Queens
36081061900,92275,115496,Queens
36081062300,92275,115496,Queens
36081062500,92275,115496,Queens
36081062600,92275,115496,Queens
36081062700,92275,115496,Queens
36081062900,92275,115496,Queens
36081063200,92275,115496,Queens
36081063301,92275,115496,Queens
36081064101,92275,115496,Queens
36081064500,92275,115496,Queens
36081064600,92275,115496,Queens
36081065000,92275,115496,Queens
36081065401,92275,115496,Queens
36081065402,92275,115496,Queens
36081065600,92275,115496,Queens
36081065702,92275,115496,Queens
36081065703,92275,115496,Queens
36081066000,92275,115496,Queens
36081066302,92275,115496,Queens
36081066302,92275,115496,Queens
36081066402,92275,115496,Queens
36081066403,92275,115496,Queens
36081066701,92275,115496,Queens
36081067100,92275,115496,Queens
36081067700,92275,115496,Queens
36081067900,92275,115496,Queens
36081068200,92275,115496,Queens
36081068300,92275,115496,Queens
36081069300,92275,115496,Queens
36081069500,92275,115496,Queens
36081069701,92275,115496,Queens
36081069702,92275,115496,Queens
36081070300,92275,115496,Queens
36081070700,92275,115496,Queens
36081070900,92275,115496,Queens
