,GEOID,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL
177,36005025000,82941,128558,2601,0.6412,0.1038,107246.0,Bronx,21312.0,0
178,36005025100,46728,72428,6462,0.3063,0.2699,107246.0,Bronx,-34818.0,1
179,36005025200,71042,72500,2561,0.7323,0.1346,107246.0,Bronx,-34746.0,1
180,36005025300,40479,82989,6313,0.2967,0.2603,107246.0,Bronx,-24257.0,1
181,36005025400,75368,176510,2183,0.6456,0.109,107246.0,Bronx,69264.0,0
182,36005025500,42218,65437,7728,0.2629,0.2988,107246.0,Bronx,-41809.0,1
183,36005025600,50980,141417,1464,0.6742,0.0821,107246.0,Bronx,34171.0,0
184,36005025700,39784,91375,1793,0.3168,0.2002,107246.0,Bronx,-15871.0,1
185,36005026100,54648,84813,2114,0.4015,0.1346,107246.0,Bronx,-22433.0,1
186,36005026300,32379,103345,7124,0.2498,0.1916,107246.0,Bronx,-3901.0,1
187,36005026400,61014,85302,6643,0.8142,0.1269,107246.0,Bronx,-21944.0,1
188,36005026500,53177,75559,7505,0.3889,0.1851,107246.0,Bronx,-31687.0,1
189,36005026601,52619,87702,3305,0.5886,0.1189,107246.0,Bronx,-19544.0,1
190,36005026602,41528,92065,5033,0.3955,0.1868,107246.0,Bronx,-15181.0,1
191,36005026701,46123,95877,3639,0.1535,0.2132,123688.0,N_Manhattan,-27811.0,1
192,36005026702,46098,26860,8183,0.3987,0.3294,123688.0,N_Manhattan,-96828.0,1
193,36005026900,27670,72321,4072,0.2928,0.2407,107246.0,Bronx,-34925.0,1
194,36005027300,48459,75111,7798,0.3429,0.346,123688.0,N_Manhattan,-48577.0,1
195,36005027401,82273,115750,5148,0.9016,0.0371,107246.0,Bronx,8504.0,0
196,36005027402,94333,152829,3611,0.893,0.0712,107246.0,Bronx,45583.0,0
197,36005027700,31500,48825,4338,0.2322,0.2799,123688.0,N_Manhattan,-74863.0,1
198,36005027900,55406,120708,8486,0.5346,0.1602,123688.0,N_Manhattan,-2980.0,1
199,36005028100,56667,160568,3757,0.4352,0.0782,123688.0,N_Manhattan,36880.0,0
200,36005028300,22971,52237,2841,0.4972,0.4801,123688.0,N_Manhattan,-71451.0,1
201,36005028500,65625,77965,3763,0.6275,0.1306,123688.0,N_Manhattan,-45723.0,1
202,36005028600,84286,130643,960,0.8104,0.1542,107246.0,Bronx,23397.0,0
203,36005028700,70319,58177,3565,0.4996,0.0909,123688.0,N_Manhattan,-65511.0,1
204,36005028800,80682,80278,3144,0.8494,0.1549,107246.0,Bronx,-26968.0,1
205,36005028900,49284,74438,4530,0.3677,0.3136,123688.0,N_Manhattan,-49250.0,1
206,36005029301,133750,246875,1794,0.8412,0.0297,123688.0,N_Manhattan,123187.0,0
207,36005029302,116413,250001,6043,0.7904,0.0828,123688.0,N_Manhattan,126313.0,0
208,36005029500,94543,146541,4484,0.6389,0.1327,123688.0,N_Manhattan,22853.0,0
209,36005029600,51932,139063,1947,0.519,0.0866,107246.0,Bronx,31817.0,0
210,36005029700,104318,193824,4122,0.6978,0.0367,123688.0,N_Manhattan,70136.0,0
211,36005030000,72568,103000,6612,0.6944,0.1069,107246.0,Bronx,-4246.0,1
212,36005030100,82554,135750,1578,0.7007,0.0809,123688.0,N_Manhattan,12062.0,0
213,36005030201,60773,146541,3912,0.469,0.0846,107246.0,Bronx,39295.0,0
214,36005030202,67500,100625,5261,0.5383,0.0474,107246.0,Bronx,-6621.0,1
215,36005030701,128919,207311,5718,0.7579,0.0226,123688.0,N_Manhattan,83623.0,0
