GEOID,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty
36047019800,66563,103172,1895,0.755,0.0704
36047019900,118996,250001,3632,0.2596,0.0747
36047020000,76667,71667,2387,0.5569,0.2286
36047020100,129720,189500,4277,0.383,0.0383
36047020200,71875,77188,1924,0.8413,0.0749
36047020300,173125,250001,1849,0.4161,0.1017
36047020400,89474,189762,1886,0.6864,0.1193
36047020500,128281,250001,3407,0.304,0.049
36047020600,95114,97986,2692,0.8417,0.1561
36047020700,158214,222380,4923,0.3315,0.0408
36047020800,48750,58426,3251,0.4776,0.0991
36047021000,58631,36250,4089,0.6502,0.2734
36047021100,72005,124706,3008,0.2803,0.115
36047021200,58385,90496,4328,0.4822,0.2246
36047021300,66683,78992,4346,0.4074,0.1954
36047021400,73456,113856,2482,0.3731,0.2936
36047021500,104796,228026,6271,0.2843,0.1059
36047021600,34815,33533,3945,0.4063,0.4684
36047021700,70625,186250,3493,0.2124,0.1366
36047021800,60816,94264,2927,0.5767,0.1554
36047021900,104423,176378,3882,0.2939,0.1278
36047022000,39321,60947,5153,0.4109,0.5572
36047022100,69213,67880,4058,0.2728,0.242
36047022200,31090,23977,4034,0.3526,0.5082
36047022400,44677,59219,5479,0.5423,0.2648
36047022600,75714,81167,2478,0.4772,0.0541
36047022700,108750,250001,4244,0.3955,0.0728
36047022800,48507,34318,4129,0.5052,0.3942
36047022900,122989,190632,4082,0.3106,0.1325
36047023000,46691,72371,4555,0.4084,0.4042
36047023100,140888,196719,3623,0.5395,0.0895
36047023200,58086,90033,6593,0.3622,0.3987
36047023300,61049,53618,6953,0.309,0.3153
36047023400,26795,65691,5080,0.3148,0.5086
36047023500,55682,138500,5613,0.3076,0.4678
36047023600,31905,18817,5924,0.4097,0.457
36047023800,39196,137661,4563,0.369,0.3732
36047024000,42885,51806,6001,0.3767,0.4319
36047024100,71000,110050,2876,0.2743,0.2913
36047024200,55069,85417,2618,0.6309,0.1578
36047024300,82524,119559,4454,0.3938,0.1194
36047024400,62885,46175,3636,0.5693,0.3426
36047024500,92932,143205,4513,0.408,0.0986
36047024600,68224,105747,3011,0.7207,0.1146
36047024700,70408,178281,2594,0.233,0.1638
36047024800,68063,97000,2506,0.5599,0.0898
36047024900,78025,123036,4146,0.3138,0.2012
36047025000,55132,56974,1914,0.6178,0.1316
36047025100,46947,75375,4032,0.2767,0.2331
36047025200,49815,63504,5501,0.5512,0.1798
36047025300,79583,123353,4003,0.4641,0.1831
36047025400,77465,83576,3306,0.5878,0.1779
36047025500,23003,47297,5558,0.2222,0.3215
36047025600,52052,100298,3134,0.6875,0.2627
36047025700,99821,131458,2584,0.3929,0.1943
36047025800,58490,67917,4871,0.4344,0.2718
36047025901,62734,164808,2077,0.1884,0.2345
36047025902,20045,28656,3694,0.2317,0.4458
36047026000,47948,43155,3402,0.5154,0.0927
