GEOID,FP_nearest,FP_tt,FP_tt_3
36081007300,Plentiful-1469,5.26,7.91
36081007500,Plentiful-1469,4.35,7.81
36081007700,FPC-506,1.85,4.5
36081007900,FPC-506,3.62,4.89
36081008100,85350,4.52,5.79
36081008300,85350,5.87,7.93
36081008500,84960,1.13,5.17
36081009400,85163,1.37,10.01
36081009500,Plentiful-1469,14.81,15.3
36081009600,85163,3.45,13.24
36081009700,Plentiful-1469,19.4,20.2
36081009800,85163,7.68,11.24
36081009900,85350,14.55,17.71
36081010000,85163,7.22,12.05
36081010100,85244,23.27,23.45
36081010200,83578,12.12,13.28
36081010300,85244,24.15,26.24
36081010400,83578,7.31,10.76
36081010500,85244,27.5,29.3
36081010800,83578,9.17,11.45
36081011000,85163,8.98,11.44
36081011100,85244,24.33,30.28
36081011200,85163,5.97,10.08
36081011300,85244,20.4,26.51
36081011400,84936,7.94,9.76
36081011500,85244,17.43,21.48
36081011600,84936,8.37,10.27
36081011700,85244,14.17,20.66
36081011800,83879,7.91,10.04
36081011900,85244,14.11,19.9
36081012000,85251,8.18,8.66
36081012100,85244,17.52,21.39
36081012200,84258,1.99,3.01
36081012400,83879,2.29,4.35
36081012601,83879,3.28,5.96
36081012602,84936,3.19,6.6
36081012800,83879,5.8,6.87
36081013200,84132,4.37,7.08
36081013400,84132,10.28,12.63
36081013500,83361,16.76,18.82
36081013800,85251,13.74,14.48
36081014000,84258,9.82,9.94
36081014201,85251,7.73,9.12
36081014202,85251,10.17,11.27
36081014300,85244,5.32,12.47
36081014400,85251,2.3,3.8
36081014500,85244,5.31,10.91
36081014700,85244,1.21,8.47
36081014800,85251,8.43,9.48
36081014900,85244,3.26,8.69
36081015000,83578,9.7,10.32
36081015100,85244,3.9,7.66
36081015200,81001,14.07,14.81
36081015300,80971,3.75,8.08
36081015400,83578,8.12,10.83
36081015600,83578,5.54,10.46
36081015700,80971,6.88,12.6
36081015801,81001,7.0,9.78
36081015802,83578,3.57,9.89
36081016100,80971,4.75,10.27
36081016300,85244,8.21,8.94
36081016400,81001,3.69,7.79
36081016800,81001,8.36,11.41
36081016900,80971,14.31,14.46
36081017000,81001,1.69,6.85
36081017200,81001,3.66,7.52
36081017400,82104,5.43,7.84
36081017600,82104,6.43,8.22
36081017800,83351,6.65,8.9
36081017901,84174,1.8,8.85
36081017902,FPC-510,4.34,7.08
36081018000,83351,2.62,7.56
36081018101,84174,3.56,9.32
36081018102,84174,5.57,10.07
36081018200,Plentiful-1441,6.15,6.55
36081018300,84174,8.08,12.89
36081018401,83270,2.4,6.47
36081018402,83270,7.56,11.19
36081018501,84105,2.38,7.76
36081018502,84105,4.84,8.35
36081018600,83351,9.01,10.24
36081018700,84105,3.88,8.02
36081018800,82104,7.32,9.96
36081018900,83628,5.47,7.49
36081019000,84140,7.19,8.48
36081019200,84519,6.73,8.03
36081019400,84519,3.84,6.46
36081019600,84140,3.21,3.99
36081019800,84519,3.99,5.38
36081019901,83628,4.43,8.4
36081019902,83628,8.13,13.23
36081019903,83628,5.69,11.4
36081020200,84519,5.74,9.08
36081020400,80871,4.93,6.18
36081020500,84105,10.32,15.87
36081020600,84519,11.11,11.28
36081020800,85167,9.52,10.55
36081021200,85167,5.36,11.59
36081021400,85167,4.66,11.82
36081021602,85167,8.64,13.32
36081021603,80957,13.27,15.31
36081022001,85467,13.26,14.74
36081022002,80997,10.05,11.77
36081023000,80997,9.38,9.9
36081023200,85167,7.51,10.69
36081023501,84105,3.68,11.02
36081023502,84105,7.64,12.28
36081023600,FPC-702,3.68,4.18
